CSV Version;1
"File name";"35_2a_matte_10x.vk4"
"Title";"35_2a_matte_10x"
"Measurement date";"11/21/2016"
"Measurement time";"2:13:39 PM"
"User mode";"Expert"
"Objective lens";"Standard lens 10.0";"x"
"NA";"0.300"
"Size";"Super fine"
"Mode";"Surface profile"
"RPD";"ON"
"Quality";"High accuracy"
"Pitch";"2.000 ";"um"
"Z measurement distance";"258.347 ";"um"
"Double scan";"Auto(ON)"
"Brightness1";"6620"
"Brightness2";"7316"
"ND filter";"3";"%";"30";"%"
"Optical zoom";"1.0";"x"
"Average count";"1";"time"
"Filter";"OFF"
"Fine mode";"ON"
"Line count";"---"
"Line position1";"---"
"Line position2";"---"
"Line position3";"---"
"Camera gain";"0";"dB"
"Shutter speed";"Auto"
"White balance mode";"Auto"
"White balance R";"135"
"White balance B";"157"
"Intensity correction mode";"Gamma correction"
"Gamma correction value";"0.45"
"Gamma offset";"0";"%"
"W/B inversion";"OFF"
"Head type";"VK-X210"
"Correct intensity eccentricity";"ON"
"Correct field curvature";"ON"
"XY calibration";"699.558 ";"nm/pixel"
"Z calibration";"0.100 ";"nm/digit"
"Saturation";"5"
"Contrast";"5"
"Brightness";"0"
"AI noise elimination";"Auto(ON)"
"Angled surface noise filter";"Auto(ON)"

"Bump measurement"
"";"Average height";"";"Max. height";"";"C.S. area";"";"Surface area";"";"Volume";"";"Area ratio";"";"Perimeter";"";"Horz. Feret diameter";"";"Vert. Feret diameter";"";"Circle equivalent dia";"";"Comment"
"37";"-37.8030";"um";"-61.4281";"um";"1143.6843";"um2";"9744.1188";"um2";"43234.7178";"um3";"0.074";"%";"139.5480";"um";"44.7717";"um";"36.3770";"um";"38.1600";"um";""
"38";"-34.5364";"um";"-51.3835";"um";"900.9511";"um2";"6923.1639";"um2";"31115.6481";"um3";"0.059";"%";"130.4040";"um";"36.3770";"um";"34.9779";"um";"33.8693";"um";""
"39";"-33.9805";"um";"-49.2623";"um";"1024.2753";"um2";"6585.7849";"um2";"34805.4011";"um3";"0.067";"%";"126.4467";"um";"34.2783";"um";"39.1752";"um";"36.1130";"um";""
"40";"-32.8410";"um";"-50.8952";"um";"1156.4082";"um2";"8262.6655";"um2";"37977.6551";"um3";"0.075";"%";"130.2343";"um";"38.4757";"um";"38.4757";"um";"38.3717";"um";""
"41";"-30.0032";"um";"-48.7217";"um";"1047.7656";"um2";"6177.6611";"um2";"31436.2747";"um3";"0.068";"%";"141.8370";"um";"36.3770";"um";"37.7761";"um";"36.5247";"um";""
"42";"-22.7503";"um";"-35.4286";"um";"902.9087";"um2";"4784.0549";"um2";"20541.4072";"um3";"0.059";"%";"120.1010";"um";"37.0766";"um";"33.5788";"um";"33.9060";"um";""

"Total";"-1346.4061";"um";"-2118.0170";"um";"40058.3141";"um2";"294243.9579";"um2";"1302129.8342";"um3";"2.602";"%";"5202.8969";"um";"1560.0143";"um";"1452.9820";"um";"1455.2324";"um";""
"Max.";"-22.7503";"um";"-35.4286";"um";"1592.4471";"um2";"12806.7941";"um2";"60592.0390";"um3";"0.103";"%";"173.9052";"um";"57.3638";"um";"42.6730";"um";"45.0285";"um";""
"Min.";"-38.0496";"um";"-61.4281";"um";"529.0213";"um2";"3968.2917";"um2";"14032.8394";"um3";"0.034";"%";"90.6904";"um";"26.5832";"um";"26.5832";"um";"25.9532";"um";""
"Ave.";"-32.0573";"um";"-50.4290";"um";"953.7694";"um2";"7005.8085";"um2";"31003.0913";"um3";"0.062";"%";"123.8785";"um";"37.1432";"um";"34.5948";"um";"34.6484";"um";""
"Std. DV";"3.7016";"um";"4.9121";"um";"197.4723";"um2";"1618.4244";"um2";"8837.0887";"um3";"0.013";"%";"15.3777";"um";"5.4462";"um";"3.3452";"um";"3.7237";"um";""
"3sigma";"11.1048";"um";"14.7364";"um";"592.4169";"um2";"4855.2732";"um2";"26511.2661";"um3";"0.038";"%";"46.1332";"um";"16.3387";"um";"10.0357";"um";"11.1711";"um";""

"Concave measurement"
"Thresh.";"114.4537";"um"
"Ignore small areas";"1000";"pixel"
